SITE rem_D rem_I a95 kappa Dipdir Dip kappa_bed
AG01 314.9 70.5 11.2 36.7 344 68 150
AG02 329 32.9 4.5 219.4 344 0 150
AM01 335.5 31.3 4.9 130.1 4 17 150
AM02 335 2 3.2 293.6 175 60 150
AM03 342.7 15 3.1 316.6 170 53 150
AM04 334.5 36.6 4.7 138.6 191 22 150
AM05 44.2 77.6 6.9 64.7 334 55 150
AM06 327.1 12.4 3.8 185.9 134 32 150
AM07 331.7 47.7 6.3 114 318 26 150
AM08 326.7 31.7 14.3 18.8 150 52 150
AM09 333.2 49.3 7 120.3 315 13 150
AM10 329.8 38.6 8.6 114.2 288 34 150
AM11 321.9 25.4 4.2 327.7 193 53 150
AM12 313.8 48.6 7.6 54.1 338 24 150
AM13 330.7 20.8 3 350.9 148 34 150
AM14 301.1 65.4 5.6 97.5 353 46 150
AM15 343 48.6 7.9 50.4 285 22 150
AM16 330.1 19.7 5.7 139.9 155 36 150
DP01 194.8 62.5 6.4 75.5 355 71 150
DP02 253.3 70.2 4.3 166.7 350 60 150
DP03 314.7 60.3 5 144.4 1 25 150
DP04 320.5 52 6.8 68.1 355 14 150
DP05 325 45.1 5.6 99.2 293 87 150
DP06 328 48.4 6.6 70.4 303 59 150
DP07 90.7 79.2 1.6 1178.8 325 70 150
DP08 345.1 24.6 8.7 48.8 138 82 150
DP09 332.1 16.4 4.1 185.7 124 78 150
DP10 321.9 31.2 5.7 115.1 333 71 150
DP11 323.4 36.1 3.7 219.5 305 51 150
DP12 343.1 33.4 7.9 94.1 60 25 150
IC02 325.6 -2.7 4.6 170.4 178 42 150
IC03 85 87.4 7.9 59 338 66 150
IC44 326.9 24.1 18.4 11.7 115 57 150
IC46 31.6 65.8 19.1 10.9 324 49 150
IC47 323.1 48.7 13.2 18.6 342 85 150
IC48 328.4 2.9 5.5 119.9 161 51 150
IC50 334.6 30.4 3.1 273.1 128 10 150
IC51 337.9 25.3 4.4 136.6 139 18 150
OU01 319.8 42.8 7.4 57.5 228 30 150
OU02 11.9 45.1 5.9 131.7 298 39 150
OU03 351.6 35.8 9.6 50.1 314 64 150
OU04 286.5 22.3 4 190.1 129 110 150
OU05 297.6 35.3 3.7 223.2 223 40 150
OU06 337 26.5 8.3 45.2 188 15 150
OU07 333 13.2 8.5 82.4 160 80 150
SK01 333.4 33.4 6.7 82.8 103 61 150
SK02 356.8 52.3 9.6 49.6 336 60 150
SK03 349.8 66.2 8.1 56.4 339 75 150
SK04 313.2 40 3.7 228.2 15 20 150
SK05 315.9 56.8 6.4 76.7 333 48 150
SK06 325.9 -21.2 6.2 94.8 160 72 150
SK07 329.5 27.3 7.4 57.2 160 14 150
SK08 322.2 -4.6 5 144.3 158 49 150
SK09 332.1 25 3.3 335.8 180 16 150
SK10 338.4 56.3 4.7 141.5 320 30 150
SK11 165.7 73.7 4.3 167.7 338 74 150
SK12 333.4 33.4 2.9 366.1 20 0 150
SK13 296.5 66.7 5.7 96.2 13 62 150
SK14 333.4 12.6 4.7 140 180 64 150
SK15 335.9 21.1 5.5 102.7 202 41 150
SK16 337.8 54 2.7 404.8 318 18 150
SK17 330.6 -12 4.8 159 143 55 150
SK18 306.8 34.1 4.2 174.3 171 55 150
SK19 320.6 26 4.5 149.4 177 28 150
